"LU332" "LU1114" "LU1168" "LU123" "LU804" "LU1126" "LU647" "LU219" "LU1107" "LU449" "LU1117" "LU85" "LU318" "LU485" "LU1096" "LU277" "LU1077" "LU1148" "LU856" "LU968" "LU738" "LU1115" "LU583" "LU376" "LU987" "LU1150" "LU1170" "LU716" "LU209" "LU195" "LU1090" "LU965" "LU565" "LU1110" "LU1167" "LU492" "LU800" "LU444" "LU704" "LU752" "LU851" "LU821" "LU1143" "LU820" "LU1138" "LU847" "LU976" "LU12" "LU876" "LU1162" "LU1130" "LU546" "LU785" "LU87" "LU2" "LU672" "LU324" "LU1153" "LU1134" "LU1118" "LU727" "LU782" "LU1109" "LU788" "LU1163" "LU866" "LU681" "LU755" "LU826" "LU1132" "LU631" "LU137" "LU1116" "LU717" "LU660" "LU797" "LU510" "LU1184" "LU835" "LU136" "LU328" "LU382" "LU1158" "LU591" "LU812" "LU673" "LU605" "LU464" "LU768" "LU434" "LU709" "LU438" "LU330" "LU460" "LU1074" "LU1091" "LU558" "LU427" "LU352" "LU667" "LU773" "LU627" "LU164" "LU14" "LU641" "LU1054" "LU190" "LU1121" "LU436" "LU887" "LU1080" "LU468" "LU79" "LU370" "LU350" "LU998" "LU1068" "LU1151" "LU1166" "LU1155" "LU276" "LU1135" "LU990" "LU1040" "LU745" "LU1165" "LU1003" "LU1041" "LU983" "LU978" "LU1124" "LU1069" "LU398" "LU859" "LU973" "LU1020" "LU372" "LU1154" "LU271"
"DDAH1" 2211.53784179688 4641.54833984375 2941.93823242188 2916.63354492188 2819.22485351562 1587.77185058594 3088.3759765625 1380.74279785156 1868.65576171875 4631.47607421875 1216.24462890625 2931.34790039062 4682.75244140625 3320.1103515625 1622.46081542969 1374.15576171875 1919.4404296875 3046.66943359375 6385.35546875 2943.62451171875 4654.91064453125 2429.939453125 5192.2294921875 1897.13146972656 868.485412597656 2905.578125 1182.8798828125 916.325439453125 362.34130859375 1350.01000976562 2469.06396484375 553.639587402344 675.426025390625 1020.95532226562 705.768920898438 791.9326171875 945.755004882812 1063.54846191406 595.228942871094 2229.23950195312 347.894592285156 923.051879882812 1419.57275390625 993.874450683594 658.634399414062 915.407104492188 1311.62670898438 1668.54260253906 988.756042480469 797.28662109375 1298.39208984375 635.607360839844 1259.26733398438 735.386962890625 1386.56005859375 1073.48620605469 1120.24670410156 811.943115234375 1004.83343505859 570.788940429688 868.608032226562 1517.21118164062 2995.41796875 1441.64916992188 1621.96044921875 1379.70617675781 817.804992675781 1278.01525878906 504.621856689453 1144.96691894531 819.080139160156 1002.14801025391 904.321105957031 1672.07177734375 1916.341796875 1369.37585449219 1142.67980957031 1276.66918945312 737.378356933594 1221.5107421875 516.367370605469 595.421142578125 997.462707519531 1138.34509277344 583.132629394531 2094.12426757812 739.338012695312 1483.83471679688 3811.26928710938 1509.63818359375 1583.68542480469 612.687133789062 764.731628417969 1236.83935546875 1661.71557617188 261.625854492188 566.394165039062 545.43310546875 1581.8681640625 1044.37854003906 426.859069824219 795.034057617188 1341.09802246094 1175.82531738281 1085.77355957031 1353.92651367188 633.292236328125 747.444458007812 1113.81359863281 658.12939453125 1433.07897949219 1254.37219238281 1268.8291015625 1076.72351074219 456.976593017578 1942.37963867188 419.132629394531 691.405212402344 185.62971496582 213.858184814453 464.711151123047 691.232604980469 1258.41906738281 366.322479248047 438.868682861328 494.010437011719 407.077026367188 516.726135253906 382.476531982422 728.360229492188 425.395111083984 613.195129394531 523.352966308594 707.150146484375 262.320861816406 465.459533691406 758.937561035156 341.425567626953 525.28759765625
"SELENBP1" 9239.4619140625 35808.3828125 6406.56640625 3314.99731445312 9310.3134765625 4532.25048828125 5079.89794921875 2998.92065429688 10329.203125 6867.39501953125 3876.77026367188 3314.11669921875 10089.2080078125 8892.25390625 6066.0517578125 2670.955078125 3095.81494140625 10253.9111328125 28754.142578125 15046.5888671875 2705.853515625 5024.6875 13309.15625 3892.38525390625 2927.39111328125 8982.865234375 929.703796386719 1915.85510253906 872.272094726562 2498.50537109375 1647.06872558594 949.157348632812 1129.37072753906 1684.35339355469 2302.3271484375 2288.82690429688 2003.72082519531 5545.78271484375 1553.36059570312 7262.78955078125 992.565307617188 4412.2392578125 3447.048828125 3841.99829101562 2285.62158203125 2934.60327148438 5367.21826171875 4241.80908203125 7184.9375 3659.2041015625 4447.75390625 1647.96008300781 1233.92687988281 3785.92993164062 1870.96960449219 2553.66967773438 3740.66235351562 3096.53466796875 2154.24438476562 2450.9384765625 3838.39965820312 4612.55859375 2228.8515625 3290.19262695312 1441.17395019531 4934.85498046875 2495.14624023438 4237.9892578125 3971.32421875 7119.26708984375 3541.05712890625 1766.80773925781 1397.66198730469 4250.13427734375 4017.67895507812 1259.39575195312 1337.78466796875 4206.2177734375 972.17822265625 2484.4296875 1746.525390625 1094.66931152344 2454.525390625 2885.84252929688 841.5009765625 6828.9052734375 2233.88549804688 3980.70629882812 5835.75341796875 11322.353515625 6366.3388671875 1160.25170898438 2689.48828125 3528.79907226562 8798.65234375 693.227233886719 200.871917724609 2016.51843261719 3531.0302734375 2541.85815429688 1324.31848144531 1297.50610351562 3340.15063476562 2642.70141601562 1019.01104736328 833.046813964844 4151.912109375 2652.57055664062 676.9248046875 1650.01000976562 1161.26123046875 1242.20373535156 2963.47705078125 2397.5107421875 942.661682128906 4690.05126953125 1548.82946777344 4407.04150390625 914.283874511719 581.910522460938 1564.39831542969 2976.94580078125 1097.03137207031 882.014221191406 655.626953125 1541.61303710938 1332.43518066406 627.828125 965.430786132812 3223.04760742188 1171.52185058594 3179.14135742188 765.130981445312 1373.58068847656 962.607666015625 634.590515136719 593.521728515625 1335.18286132812 1541.46630859375
"AK1" 2426.357421875 3706.47143554688 1715.43017578125 919.115844726562 3098.40502929688 1496.400390625 3702.33837890625 1360.32165527344 2278.48999023438 1909.31481933594 1715.94311523438 1447.85717773438 2512.32543945312 4777.29736328125 1788.36584472656 1132.12487792969 982.196960449219 2075.400390625 1376.59045410156 3151.6865234375 4155.75830078125 1300.8134765625 1812.83374023438 1856.060546875 921.180480957031 2509.326171875 564.939880371094 770.287841796875 1297.19323730469 1965.66723632812 813.0009765625 663.250854492188 940.366455078125 670.223388671875 1185.20043945312 742.490478515625 1327.17370605469 1696.84509277344 602.320556640625 1601.71923828125 493.761352539062 1266.33837890625 1415.73205566406 1197.32348632812 811.641784667969 1171.44738769531 1359.72473144531 1096.57055664062 1604.43957519531 1172.66845703125 1459.68054199219 603.715454101562 1443.82421875 840.418334960938 1006.52447509766 653.850830078125 1249.01940917969 1151.22058105469 882.342651367188 1051.70141601562 1084.00732421875 1222.3330078125 1643.52172851562 1184.63220214844 737.110473632812 1525.794921875 593.584045410156 1202.5908203125 1063.9462890625 1707.60668945312 1281.15771484375 643.376281738281 641.150024414062 1054.51684570312 1114.32446289062 608.633056640625 742.975463867188 997.414916992188 405.691070556641 1542.26684570312 949.678039550781 665.486694335938 1033.06188964844 1054.56225585938 687.627990722656 1269.41442871094 548.093872070312 2799.97631835938 1413.1708984375 1165.80383300781 1285.34069824219 1048.97375488281 985.815185546875 1491.36389160156 1529.19299316406 553.451110839844 788.933471679688 687.682922363281 982.895446777344 919.640930175781 729.942993164062 723.61572265625 1062.48425292969 1525.2041015625 738.456420898438 1274.95190429688 1373.92529296875 1171.58190917969 724.191833496094 899.686401367188 1272.28332519531 700.423034667969 1170.43530273438 984.8125 673.1533203125 1512.06286621094 536.063720703125 1338.23413085938 672.077575683594 601.378295898438 816.955749511719 965.087158203125 699.798889160156 515.924011230469 516.750671386719 867.871887207031 1112.50573730469 580.106628417969 643.005859375 1442.37145996094 684.083679199219 1171.71240234375 565.839904785156 726.361938476562 785.832336425781 453.296081542969 473.001525878906 632.690979003906 683.454528808594
"HNMT" 751.896057128906 977.594543457031 1092.93994140625 674.20751953125 1098.32141113281 740.958618164062 1043.99609375 414.195709228516 771.964233398438 685.464660644531 540.304321289062 540.950073242188 1500.67114257812 1393.29931640625 777.146728515625 684.276977539062 799.405639648438 857.768310546875 994.744934082031 1115.86267089844 671.176391601562 684.343200683594 1435.65637207031 587.188171386719 485.433166503906 675.447204589844 369.613250732422 561.230102539062 468.395385742188 450.32373046875 529.988403320312 281.003692626953 448.927093505859 510.383026123047 431.683929443359 492.838195800781 441.366790771484 519.777954101562 785.764587402344 926.989074707031 591.771850585938 659.885864257812 684.362182617188 622.103698730469 653.443786621094 570.081665039062 573.547729492188 736.960998535156 549.146667480469 613.21240234375 717.432434082031 524.822998046875 514.064880371094 453.488098144531 548.95263671875 627.0947265625 492.209747314453 562.097839355469 511.041076660156 482.16748046875 497.227172851562 499.61181640625 572.114013671875 462.099090576172 572.890258789062 505.932342529297 627.481323242188 772.2958984375 581.979431152344 601.182556152344 628.413940429688 425.618072509766 479.579681396484 329.068054199219 542.53076171875 189.050201416016 134.972122192383 438.206726074219 380.427947998047 424.106384277344 280.012268066406 254.515808105469 365.078338623047 421.904968261719 235.962097167969 398.018157958984 364.777496337891 387.320434570312 638.189331054688 835.689147949219 350.5302734375 373.300903320312 284.591552734375 543.632934570312 900.845092773438 285.048126220703 137.367004394531 454.440521240234 807.934509277344 401.944671630859 600.840454101562 350.648132324219 359.8935546875 210.864410400391 182.087371826172 75.4111709594727 342.336273193359 317.506103515625 348.236846923828 318.734619140625 209.421813964844 268.906860351562 298.094818115234 361.977935791016 363.710021972656 421.926818847656 363.316772460938 420.882293701172 187.576553344727 339.404266357422 314.18310546875 422.121124267578 437.937652587891 362.947448730469 212.295043945312 344.678039550781 233.439544677734 385.387023925781 489.439178466797 366.110473632812 292.324798583984 376.197296142578 241.290924072266 624.027526855469 309.357330322266 285.613037109375 300.813568115234 313.386077880859 341.479064941406
"C11orf54" 601.275512695312 783.427551269531 834.130310058594 656.757385253906 188.651916503906 611.709289550781 1192.5859375 419.295166015625 348.134155273438 613.034545898438 374.637908935547 375.547149658203 711.742553710938 907.059875488281 354.160125732422 528.208618164062 444.894500732422 377.183502197266 1227.30944824219 520.902954101562 290.306427001953 445.887512207031 606.649536132812 272.358276367188 298.277587890625 710.518676757812 363.791870117188 221.957641601562 105.867073059082 269.311431884766 252.836120605469 251.888397216797 195.483825683594 264.334686279297 251.372421264648 364.208618164062 247.948532104492 307.435119628906 375.405212402344 429.450561523438 264.651885986328 187.114379882812 422.136199951172 299.587554931641 257.593444824219 488.177886962891 496.923583984375 236.83317565918 255.431762695312 265.823333740234 351.216918945312 266.101043701172 242.182800292969 337.536712646484 360.313690185547 446.966888427734 354.108551025391 402.083435058594 339.520935058594 356.037841796875 307.650756835938 386.165710449219 386.405517578125 267.607238769531 385.150634765625 333.385498046875 320.302673339844 327.813385009766 364.3173828125 319.881683349609 390.022521972656 352.873382568359 595.976135253906 331.623931884766 363.763305664062 450.403961181641 439.880737304688 292.179809570312 337.276031494141 334.048187255859 237.336822509766 199.835311889648 318.592895507812 245.018600463867 474.640075683594 266.775512695312 438.028350830078 432.160034179688 525.632263183594 482.430145263672 599.019165039062 534.413635253906 312.037414550781 288.337524414062 409.065979003906 186.656661987305 337.265838623047 169.585662841797 450.9921875 414.746612548828 240.244155883789 206.425720214844 238.053100585938 227.474563598633 444.016784667969 287.066040039062 249.535339355469 322.643096923828 403.805633544922 348.259521484375 544.77587890625 353.072692871094 334.480682373047 294.596282958984 327.971710205078 240.816604614258 337.818908691406 150.195892333984 243.345397949219 137.886840820312 135.687835693359 230.279815673828 288.311614990234 173.208801269531 209.735931396484 184.579711914062 148.763305664062 228.825286865234 354.164245605469 304.8828125 235.756576538086 190.441528320312 250.673645019531 252.192413330078 280.171997070312 216.382843017578 277.670104980469 211.788909912109 126.831130981445
"GPD1L" 832.523742675781 976.112915039062 1449.73034667969 901.276733398438 1554.20886230469 673.684509277344 1785.37097167969 403.058197021484 917.066223144531 1183.30627441406 616.066589355469 683.5029296875 941.850158691406 1235.9287109375 772.711669921875 611.257934570312 676.211181640625 955.678527832031 1507.19470214844 1522.61315917969 2739.92578125 788.668212890625 931.3154296875 572.380249023438 400.329650878906 1078.25549316406 428.705993652344 299.624114990234 244.907073974609 312.461059570312 552.737731933594 366.426025390625 324.777313232422 352.426483154297 512.983825683594 424.139221191406 386.177581787109 734.94091796875 383.860687255859 646.459106445312 632.660339355469 647.652221679688 1189.71069335938 567.137512207031 369.054351806641 319.516662597656 499.810119628906 657.454895019531 587.137512207031 333.586029052734 586.404479980469 346.297332763672 380.509063720703 411.95703125 341.700988769531 481.945526123047 562.55908203125 565.162231445312 431.819458007812 373.209991455078 535.213806152344 924.693176269531 655.82763671875 774.216918945312 511.613555908203 634.256225585938 463.910430908203 595.787780761719 513.439819335938 617.047729492188 489.046356201172 819.899230957031 349.312561035156 473.69580078125 542.269226074219 302.913024902344 574.321350097656 895.621520996094 458.38232421875 613.048217773438 349.994079589844 322.058013916016 1083.791015625 351.7353515625 304.75439453125 1063.703125 1143.48071289062 1392.23669433594 638.942138671875 639.465698242188 684.348327636719 766.725708007812 311.207153320312 699.001770019531 1314.10388183594 283.035919189453 285.007751464844 397.507232666016 549.168212890625 552.200256347656 541.678894042969 248.642150878906 459.721557617188 254.941375732422 281.890960693359 184.614791870117 392.892669677734 395.365631103516 319.012237548828 325.320465087891 310.87109375 310.168640136719 489.363983154297 381.436492919922 383.291381835938 343.586883544922 247.60173034668 373.993896484375 215.03889465332 178.678237915039 342.451049804688 362.020141601562 884.362426757812 237.012237548828 313.492584228516 279.304260253906 216.775634765625 274.665924072266 229.560195922852 451.264221191406 415.439483642578 410.477600097656 240.898361206055 366.539093017578 273.796936035156 379.247619628906 330.106811523438 333.259216308594 279.892181396484
"ACAD8" 522.705078125 754.098388671875 1204.69067382812 3785.01049804688 1245.91076660156 1462.35180664062 6703.1650390625 875.152038574219 734.332885742188 1305.85534667969 1617.314453125 3097.54223632812 2301.17431640625 1088.45727539062 762.392272949219 2943.32348632812 1624.89819335938 1059.64050292969 1457.33898925781 760.374694824219 944.098022460938 1334.6484375 1665.24328613281 826.158020019531 588.814819335938 2486.23266601562 723.361755371094 566.864562988281 694.75146484375 530.406311035156 1297.33215332031 837.403381347656 592.269714355469 777.833679199219 567.804016113281 1023.68096923828 574.268310546875 587.979858398438 681.797668457031 1410.32983398438 494.206909179688 822.399963378906 1081.15588378906 741.378295898438 596.1826171875 687.392639160156 1199.01098632812 880.286682128906 1050.85815429688 575.212097167969 979.151000976562 477.760925292969 780.972717285156 699.044189453125 656.582885742188 776.289123535156 579.184265136719 614.476867675781 890.666076660156 559.964599609375 627.153564453125 1350.15625 1130.33508300781 1231.33056640625 1436.6572265625 2047.71130371094 625.765808105469 1610.001953125 678.584350585938 577.301330566406 676.855712890625 649.572814941406 645.819702148438 671.5029296875 633.044616699219 505.146209716797 582.592712402344 1202.64282226562 364.728240966797 528.13330078125 578.774353027344 568.78076171875 848.423278808594 732.405151367188 506.048248291016 1330.46240234375 256.047271728516 1217.97253417969 919.192810058594 1109.59716796875 1100.30151367188 511.437164306641 509.530517578125 1585.17749023438 1848.32653808594 354.062316894531 511.425537109375 506.8330078125 1178.67883300781 463.301666259766 526.195251464844 465.371307373047 534.684936523438 360.892486572266 529.844055175781 168.012344360352 479.378540039062 870.998718261719 468.462280273438 554.4013671875 672.750915527344 425.331726074219 574.038696289062 717.500793457031 465.681274414062 342.27197265625 453.558013916016 601.586730957031 429.450225830078 216.584060668945 407.728759765625 724.709106445312 503.261657714844 470.082550048828 704.24658203125 587.972717285156 305.357696533203 430.182403564453 474.178039550781 742.029052734375 556.957153320312 601.817993164062 493.867980957031 710.786560058594 214.161239624023 745.806396484375 399.888519287109 582.821716308594 244.15641784668
"KRT7" 6524.5498046875 12447.3671875 14743.55859375 22597.4296875 17510.609375 15111.376953125 5364.41796875 7669.09423828125 4713.2939453125 12355.7919921875 12477.3701171875 17248.9453125 8423.4365234375 3833.98510742188 13599.4365234375 15975.666015625 5943.07177734375 10612.7802734375 17738.37109375 7719.61279296875 26673.8515625 14475.7822265625 5649.32861328125 19251.443359375 4367.76123046875 15839.9228515625 1421.94287109375 5944.03125 10619.77734375 9407.3330078125 10427.005859375 26706.16796875 7086.548828125 5597.86376953125 4610.560546875 5963.166015625 7767.26025390625 3202.48022460938 1275.84484863281 7684.90478515625 3869.05029296875 4174.2734375 19345.09765625 3378.14599609375 1587.96630859375 18428.259765625 16193.466796875 7395.67578125 2649.84692382812 2329.67309570312 7298.248046875 2625.77172851562 7774.88818359375 979.03857421875 14833.8720703125 7253.5048828125 8959.1708984375 1814.32409667969 4852.5009765625 2026.07312011719 5823.29150390625 3820.1748046875 12204.5 11449.8310546875 2244.09301757812 4585.41455078125 7266.15380859375 4714.0029296875 1784.35986328125 8552.173828125 2038.64050292969 42379.04296875 12255.4326171875 4023.93090820312 19524.525390625 4600.33544921875 1956.69189453125 5884.94580078125 516.689758300781 7587.3623046875 4675.64453125 2042.07385253906 21566.4296875 2743.25 14839.853515625 7234.30859375 7009.4990234375 17505.451171875 3890.16528320312 6362.9970703125 4146.58154296875 7550.39990234375 6579.07421875 1699.52673339844 17758.328125 373.199249267578 110.163078308105 8774.6826171875 5818.9599609375 5686.298828125 2969.12963867188 2210.45190429688 2968.95458984375 3357.29345703125 3328.80639648438 407.20751953125 2005.81860351562 21019.12109375 1905.79406738281 2364.7490234375 1768.60766601562 4595.61328125 1629.72351074219 2779.25415039062 1488.08325195312 3990.03540039062 659.426574707031 3841.50903320312 2252.72631835938 22931.05859375 1642.77624511719 2648.87158203125 1076.38061523438 1262.57702636719 237.923324584961 2700.64965820312 521.108459472656 536.897216796875 932.76904296875 2326.94189453125 295.292785644531 2621.6357421875 617.048034667969 10179.07421875 309.192108154297 4910.38232421875 648.792419433594 1418.07873535156 1004.541015625
"DPYSL2" 3516.21557617188 5308.4697265625 3382.50756835938 6427.03564453125 5069.57373046875 4041.9072265625 2838.19580078125 2858.068359375 5499.69287109375 2854.01489257812 2957.1806640625 2350.69750976562 4314.18603515625 4850.10595703125 5618.96435546875 2990.3564453125 3189.9501953125 6026.22216796875 3639.96484375 5903.56689453125 3409.79223632812 4459.5380859375 5378.9873046875 2994.55004882812 2726.412109375 5175.1064453125 2851.21801757812 2951.5 1565.13500976562 1999.75622558594 1824.47302246094 1627.61303710938 2149.0380859375 1954.37341308594 2121.54223632812 2424.7490234375 2487.7978515625 3067.21875 1955.03601074219 3240.95434570312 2047.30810546875 2756.65014648438 3459.13427734375 3309.439453125 3242.85791015625 2780.123046875 3030.79345703125 4562.82666015625 3797.43994140625 4144.236328125 3767.79516601562 2898.98681640625 3104.478515625 3379.50170898438 2822.27221679688 2895.1748046875 2542.03686523438 2956.75317382812 2612.04956054688 2811.55029296875 4659.173828125 2403.998046875 2704.61889648438 2853.9306640625 2655.60107421875 2937.55322265625 2762.96826171875 4048.54223632812 2541.794921875 5500.556640625 3589.439453125 2478.884765625 1583.96240234375 1995.45385742188 3287.98999023438 3044.16845703125 1893.0400390625 2049.58959960938 1003.62152099609 2783.75537109375 1677.83239746094 1803.44079589844 1430.81298828125 2305.31176757812 1213.66284179688 1629.64916992188 1699.60986328125 2535.12329101562 2768.84033203125 2849.69555664062 2944.0126953125 2245.80517578125 4222.46630859375 3943.14721679688 2525.02880859375 1846.44946289062 627.243530273438 2159.83618164062 2584.51904296875 1682.30725097656 1996.302734375 1411.01452636719 3491.376953125 3025.53076171875 3319.37817382812 4971.30126953125 3302.22021484375 2502.34887695312 3940.81884765625 2901.02807617188 2337.65209960938 2051.12524414062 2994.04516601562 2921.34057617188 3250.43505859375 3265.91650390625 1986.29479980469 3656.84912109375 1770.62353515625 1284.51025390625 1923.68041992188 2913.53393554688 1079.16833496094 1414.38171386719 1090.02722167969 1518.72192382812 1754.99694824219 2305.4677734375 2078.62231445312 2373.79223632812 1598.85095214844 2959.90502929688 1648.15197753906 2180.31079101562 870.288635253906 953.295104980469 1987.07678222656 1516.20581054688 1988.27490234375
"CYB5A" 6658.7294921875 23508.41015625 5155.06787109375 3912.3505859375 7903.8857421875 5059.65576171875 6671.22119140625 4334.0224609375 7438.23388671875 9903.705078125 4846.4697265625 2741.19360351562 4241.6259765625 12519.138671875 6372.2265625 3225.98095703125 5627.6572265625 6177.00048828125 12457.3876953125 12268.142578125 17617.70703125 4887.74853515625 9523.3076171875 6874.2646484375 4509.60498046875 15754.8037109375 3738.52783203125 3335.41235351562 1267.14697265625 4883.861328125 3164.34301757812 2097.15551757812 2540.24243164062 2738.71435546875 3756.658203125 3035.76147460938 3166.52880859375 7946.29443359375 2508.22998046875 3575.55395507812 1433.17114257812 2625.7783203125 3710.69946289062 5161.59228515625 1805.17895507812 4189.20263671875 3039.49194335938 5710.18994140625 8043.23974609375 2783.69995117188 4655.89501953125 2215.21704101562 2814.03588867188 2214.39672851562 1479.18005371094 2040.20495605469 3864.15185546875 3442.24584960938 2913.779296875 2321.880859375 3322.99389648438 4627.30078125 1997.39489746094 4110.7548828125 3043.40673828125 9920.107421875 2382.44653320312 3930.10424804688 3403.6005859375 5298.3056640625 4353.3759765625 2853.29125976562 2359.24169921875 2339.78002929688 3896.99682617188 2572.39306640625 1827.53686523438 8653.322265625 1168.56176757812 1987.38012695312 1876.94213867188 1104.1826171875 2207.34790039062 5548.22607421875 1489.50305175781 5945.830078125 2878.09741210938 5544.3974609375 6415.84130859375 5703.5458984375 10531.603515625 1614.77282714844 4097.96435546875 4580.11767578125 5465.06591796875 1113.86120605469 1748.09387207031 2588.611328125 12220.037109375 3529.10791015625 2554.74951171875 5069.54052734375 4948.85693359375 4561.04443359375 2553.88134765625 3220.98364257812 4731.021484375 2922.37890625 2109.45727539062 4231.90869140625 2511.90698242188 7203.87255859375 3068.685546875 4211.61328125 1425.18505859375 5123.6318359375 2119.130859375 4978.6767578125 1442.37084960938 961.126281738281 2399.99389648438 3880.89233398438 2322.17138671875 1969.20495605469 1575.15808105469 1629.15539550781 664.607849121094 1631.90795898438 1494.34167480469 3004.31396484375 2329.87890625 4014.82202148438 1555.787109375 1761.84887695312 1302.38024902344 1216.04699707031 1592.32507324219 2177.0556640625 1898.85876464844
